Datum,Rennort,Renntitel,Distanz,Kategorie,Stute,Preisgeld
31.03.24,Hoppegarten,BSV Spezialtiefbau GmbH Preis von Dahlwitz - V4-1,2.000 m,Listen,-,25.00€
31.03.24,Hoppegarten,Preis des Gestüt Lünzen & Friends,1.600 m,Listen,Stute,25.00€
01.04.24,Köln,Grand Prix Aufgalopp,2.400 m,Listen,-,25.00€
14.04.24,Düsseldorf,Kalkmann-Frühjahrs-Meile - V4-2,1.600 m,Gruppe 3,-,55.00€
21.04.24,Köln,Karin Baronin von Ullmann - Schwarzgold-Rennen,1.600 m,Gruppe 3,Stute,70.00€
21.04.24,Köln,Carl Jaspers Preis,2.400 m,Gruppe 2,-,70.00€
28.04.24,Hoppegarten,Altano-Rennen,2.800 m,Listen,-,25.00€
28.04.24,Krefeld,Dr. Busch-Memorial,1.700 m,Gruppe 3,-,55.00€
01.05.24,Hannover,Hannoverscher Sprint-Preis,1.300 m,Listen,-,25.00€
01.05.24,Hannover,Grosser Preis von Hannover 96,2.000 m,Listen,Stute,25.00€
01.05.24,München,WETTSTAR.de - Bavarian Classic,2.000 m,Gruppe 3,-,55.00€
05.05.24,Düsseldorf,Henkel-Stutenpreis,1.600 m,Listen,Stute,25.00€
09.05.24,Dortmund,Grosser Preis der Sparkasse Dortmund,1.800 m,Listen,Stute,25.00€
19.05.24,Hoppegarten,Comer Group International 53. Oleander-Rennen,3.200 m,Gruppe 2,-,100.00€
20.05.24,Hannover,Grosser Preis der Hannoverschen Volksbank,1.400 m,Listen,Stute,25.00€
20.05.24,Hannover,Grosser Preis der Neuen Bult,2.200 m,Listen,Stute,25.00€
20.05.24,Köln,German 2000 Guineas,1.600 m,Gruppe 2,-,125.00€
20.05.24,Köln,Weidenpescher Cup,1.850 m,Listen,-,25.00€
26.05.24,Düsseldorf,Wempe 104. German 1000 Guineas,1.600 m,Gruppe 2,Stute,125.00€
26.05.24,Düsseldorf,Grafenberger Derby Trial,2.200 m,Listen,-,25.00€
30.05.24,Baden-Baden,46. Kronimus Badener Meile,1.600 m,Gruppe 3,-,55.00€
30.05.24,Baden-Baden,Preis der Baden-Badener Hotellerie & Gastronomie,2.200 m,Listen,Stute,25.00€
01.06.24,Baden-Baden,Japan Racing Association Derby-Trial,2.000 m,Gruppe 3,-,55.00€
01.06.24,Baden-Baden,Tattersalls Diana-Trial,1.800 m,Listen,Stute,25.00€
02.06.24,Baden-Baden,Grosser Preis der Badischen Wirtschaft,2.200 m,Gruppe 2,-,70.00€
02.06.24,Baden-Baden,Casino Baden-Baden Silberne Peitsche,1.200 m,Listen,-,25.00€
09.06.24,Hoppegarten,Diana Trial,2.000 m,Gruppe 3,Stute,55.00€
16.06.24,Hannover,Großer Preis der VGH Versicherungen,3.000 m,Listen,-,25.00€
16.06.24,Köln,Sparkasse KölnBonn - 189. Union-Rennen,2.200 m,Gruppe 2,-,70.00€
22.06.24,Düsseldorf,Großer Preis von Gottfried Schultz - Diana Trial,2.100 m,Listen,Stute,25.00€
23.06.24,Dortmund,35. Grosser Preis der Wirtschaft,1.800 m,Gruppe 3,-,55.00€
23.06.24,Dortmund,Dortmunder Sprint Cup,1.200 m,Listen,-,25.00€
30.06.24,Hamburg,Sparkasse Holstein Cup (Hamburger Stuten Meile),1.600 m,Gruppe 3,Stute,55.00€
03.07.24,Hamburg,A my-bed.eu-Langer Hamburger,3.200 m,Listen,-,25.00€
